influencer;platform;post_id;likes;comments
th3vampireprincess;Instagram;post_1;75317;271
th3vampireprincess;TikTok;post_2;9053;110
butter.on.a.poptart69;Instagram;post_3;736091;7192
butter.on.a.poptart69;TikTok;post_4;2300000;13787
saynaacl;Instagram;post_5;265339;1411
saynaacl;TikTok;post_6;50300;539
pimpdaddyextreme;Instagram;post_7;2089;35
pimpdaddyextreme;TikTok;post_8;7586;87
yasminmustdie;Instagram;post_9;15645;58
yasminmustdie;TikTok;post_10;22300;80
am3lina.s0t;Instagram;post_11;440;2
am3lina.s0t;TikTok;post_12;389500;2726
natalieundead;Instagram;post_13;17610;186
natalieundead;TikTok;post_14;32500;251
lissnessq;Instagram;post_15;13414;55
lissnessq;TikTok;post_16;1632;28
sabiikuma;Instagram;post_17;74987;234
sabiikuma;TikTok;post_18;59700;313
marian_rosamortia;Instagram;post_19;57;4
marian_rosamortia;TikTok;post_20;155400;832
